,Reporting_Year,NTA__,boro___x,NO_count,unit_value_max_max_x,unit_value_min_min_x,unit_value_total_sum_x,unit_value_mean_x,YES_count,unit_value_max_max_y,unit_value_min_min_y,unit_value_total_sum_y,unit_value_mean_y,count_all,vacant_ratio
269,2019 and 2020,QN23,4,209,444.5667614,27,15848.19632,75.82869055,19,187.785,52.53285089,1428.784692,75.19919429,228,0.083333333
270,2020 and 2021,QN25,4,188,386.1734694,28.59824676,15966.73993,84.92946773,23,142.1907216,34.10966,1713.528357,74.50123291,211,0.109004739
271,2019 and 2020,QN25,4,176,386.1734694,28.59824676,15117.13614,85.89281897,22,168,34.10966,1559.290113,70.87682331,198,0.111111111
272,2019 and 2020,QN26,4,360,413.8858351,27.32432432,45183.36733,125.5093537,39,413.8858351,43.52727273,4526.017134,116.0517214,399,0.097744361
273,2020 and 2021,QN26,4,401,413.8858351,25.82608696,47732.09415,119.0326538,29,334.9663785,20.85245902,2716.991139,93.68934962,430,0.06744186
274,2020 and 2021,QN27,4,81,493.5245902,31.76470588,6787.849507,83.80061119,8,102.5967281,37,443.2279697,55.40349622,89,0.08988764
275,2019 and 2020,QN27,4,50,493.5245902,31.76470588,3944.608588,78.89217175,10,96.70487106,37,569.5618348,56.95618348,60,0.166666667
276,2019 and 2020,QN28,4,836,595.125,11.08210726,107582.1558,128.6867892,55,344.8723404,28.97578644,6223.029333,113.1459879,891,0.061728395
277,2020 and 2021,QN28,4,853,595.125,18.22167488,106768.9478,125.1687547,66,344.8723404,31.60211268,8601.699253,130.3287766,919,0.071817193
278,2019 and 2020,QN29,4,495,500.5102041,18.19935786,62935.82469,127.1430802,57,284.065426,23.20909091,5433.065699,95.31694209,552,0.10326087
279,2020 and 2021,QN29,4,497,500.5102041,18.19935786,63591.01561,127.9497296,39,284.065426,24.34504792,4060.202359,104.1077528,536,0.072761194
280,2019 and 2020,QN30,4,219,560.6237492,17.70804911,16579.95474,75.70755588,23,129.3396226,17.81425891,1576.056295,68.52418675,242,0.095041322
281,2020 and 2021,QN30,4,216,560.6237492,17.70804911,16805.4752,77.80312591,20,129.3396226,21.4,1278.394324,63.91971618,236,0.084745763
282,2019 and 2020,QN31,4,828,426.4285714,6.305599347,72251.67891,87.26048178,96,489.375,6.305599347,7268.705992,75.71568741,924,0.103896104
283,2020 and 2021,QN31,4,843,349.2194153,21.39439655,73762.52056,87.50002439,120,489.375,16.89695896,9613.621423,80.11351186,963,0.124610592
284,2020 and 2021,QN33,4,59,234.2417372,41.62467915,4451.627005,75.45130516,4,60.3,15.05487805,150.2832338,37.57080844,63,0.063492063
285,2019 and 2020,QN33,4,78,234.2417372,29.625,4997.923255,64.07593916,4,46.51442308,29.625,135.3894231,33.84735577,82,0.048780488
286,2020 and 2021,QN34,4,233,419.41201,20,17980.22407,77.16834364,24,186.5454545,18.71311475,1534.081546,63.92006443,257,0.093385214
287,2019 and 2020,QN34,4,226,419.41201,17.04545455,18126.20187,80.20443303,27,139.2857143,17.01323251,1652.481334,61.20301238,253,0.106719368
288,2019 and 2020,QN35,4,176,598.1142857,22.3875,17818.59332,101.2420075,14,164.2145505,17.87658802,1177.890928,84.13506626,190,0.073684211
289,2020 and 2021,QN35,4,173,598.1142857,18.31358885,17125.05403,98.9887516,15,104.1600946,17.87658802,953.7052291,63.58034861,188,0.079787234
290,2020 and 2021,QN37,4,165,589.9090909,48.69642857,19613.95137,118.8724326,12,218.5327128,25.06676037,1074.664026,89.55533549,177,0.06779661
291,2019 and 2020,QN37,4,153,589.9090909,51.47727273,18544.99607,121.2091246,13,182.9412766,51.47727273,1319.441391,101.4954916,166,0.078313253
